Timestamp	What is your gender?	What year are you?	What is your relationship status?	Are you currently sexually active?	How frequently do you have sex?	How often do you masturbate?	Where have you had sex?	How often do you have "one night stands"?	How frequently do you watch porn?	Have you ever cheated on someone?	Have you ever been cheated on?	Do you consider yourself a virgin?	Have you ever had sex while under the influence? (check all that apply)	What department does your major belong to?	What sexual orientation do you most identify with?	Which of the following sex toys have you used during sex?	Have you ever paid for sex?	Were you a virgin when you first arrived at Mines?	Who of the following have you had sex with?	How confident are you in your sexual abilities?	How would you rate other Mines students' sexual abilities based on previous sexual encounters?	What of these sexual activities have you done?	Do you own any sex toys and/or have you used them?	Have you ever faked an orgasm?	What is your most common method of contraception and/or STD protection?	On a scale of 1 to 5, how happy are you with your sex life?	Have you ever had an STD?	Do you currently have an STD?	When was the last time you were tested for  STDs?	Have you ever been paid for sex?	What do you consider to be "sex"?	Have you ever sincerely used the term RIBS (Ratio Induced Bitchiness Syndrome)?	Any Comments?	What is your GPA?	At what bar/brewery do you spend the most time?	What operating system do you run on your personal computer?	Where do you usually study?	How frequently do you talk to your parents?	Have you had an internship?	How frequently do you exercise?	Did you vote in the November election?	Are you in-state or out-of-state?	How many facebook friends do you have?	In the last year, how many books did you start and finish?	In the last 12 months, how many different individuals have you had sex with?
2/4/2015 15:16:49	Female	Freshman	Single	Yes	3-5 times per week	Once a day	A bedroom, A car, A shower/bathroom	Once a year (or when the stars align...)	Once a day	No	Yes	No	Alcohol, Marijuana	Chemical and Biological Engineering	Bisexual	Whip(s), Dildo, Vibrator, Handcuffs, Anal Plug	No	No	Another Mines student, A student from another college	4	4	Role play, Had sex in a room where someone else was sleeping, Anal sex	I own and use them	Yes	Male condoms	4	No	No	Within the past year	No	Oral sex, Vaginal sex, Anal sex	No		3		Windows	Brown Building	Once a month	No		No	In-State		2-5	3
2/4/2015 15:18:12	Female	Senior	In a committed relationship	Yes	3-5 times per week	A few times a week	A bedroom, A shower/bathroom	Once a year (or when the stars align...)	Almost never	No	No	No	Alcohol, Marijuana	Civil and Environmental Engineering	Bisexual	Vibrator, Cock Ring, Blindfold, Ice, Ropes	No	Yes	Another Mines student, A student from another college, A roommate	4	2	Used props, Threesome (or more...), Role play, Had sex in a room where someone else was sleeping	I own and use them	No	Oral birth control	5	No	No	Never	No	Oral sex, Vaginal sex	Yes		3	Rock Rest Lodge	Windows	Arthur Lakes Library	Once a week	Yes	More than once a week	Yes	In-State	600	2-5	6
2/4/2015 15:19:39	Female	Freshman	In a committed relationship	Yes	Once a day	I have never masturbated	A bedroom, A car, A fraternity house, A shower/bathroom	Once a month	Almost never	No	Yes	No	Alcohol, Marijuana, Prescription drugs (pain killers, etc)	Mining Engineering	Bisexual	Vibrator, Cock Ring, Handcuffs, Blindfold	No	No	Another Mines student, A student from another college, A coworker	4	3	Used props, Threesome (or more...), Anal sex	I own them but don't use them (...what?)	Yes	Orgasmic timing (or as the kids say, "pulling out")	4	No	No	Within the past three months	No	Oral sex, Vaginal sex, Anal sex	No		2.4		Mac OS	At your house/dorm/apartment	More than once a week	No	More than once a week	No	Out-of-State	1,000	More than 15	7
2/4/2015 15:19:43	Female	Sophomore	In a committed relationship	Yes	1-2 times per week	Almost never	A bedroom, A car, A shower/bathroom	I have never had a one night stand.	Almost never	No	Yes	No	Alcohol	Geology and Geological Engineering	Bisexual	Handcuffs, Ice	No	Yes	A student from another college	4	3	Used props, Had sex in a room where someone else was sleeping	I've never used them and I don't own any	No	Male condoms	5	No	No	Never	No	Vaginal sex, Anal sex	Yes		2.5		Windows	Arthur Lakes Library	More than once a week	No	Once a semester	No	Out-of-State	300	6-10	1
2/4/2015 15:22:23	Female	Graduate Student	Multiple relationships			Once a day			Never	Yes	No	Yes		Physics	Bisexual					1			I own them but don't use them (...what?)			5	Yes	Yes	Never		Anal sex	Yes		3.8	Rock Rest Lodge	Linux	At your house/dorm/apartment	Once a week	No	Once a week	Yes	In-State		1	
2/4/2015 15:27:20	Female	Junior	In a committed relationship	Yes	1-2 times per year (or when the stars align...)	Almost never	A bedroom, A car, A campus building, A shower/bathroom	I have never had a one night stand.	Almost never	Yes	Yes	No	Alcohol, Marijuana	Chemistry and Geochemistry	Bisexual	Ice	No	No	Another Mines student	4	3	None of these.	I own and use them	Yes	Male condoms	2	No	No	A while ago...	No	Vaginal sex, Anal sex	No		2.7	Mountain Toad	Windows	At your house/dorm/apartment	Once a month	Yes	More than once a week	No	In-State	300	More than 15	1
2/4/2015 15:38:37	Female	Graduate Student	semi-open: we screw other people, but not without each other ;)	Yes	3-5 times per week	A few times a week	A bedroom, A car, A fraternity house, A shower/bathroom, Club or Bar	Once a year (or when the stars align...)	Almost never	Yes	Yes	No	Acid, Adderall, Alcohol, Cocaine, Ecstasy, Marijuana, Mushrooms	Metallurgical and Materials Engineering	Bisexual	Dildo, Vibrator, Cock Ring, Handcuffs, Blindfold, Anal Plug, Ice	No	No	A student from another college, A roommate, A coworker	4	1	Used props, Threesome (or more...), Role play, Made a sex tape, Had sex in a room where someone else was sleeping, Anal sex	I own and use them	Yes	Orgasmic timing (or as the kids say, "pulling out")	5	Yes	No	Within the past month	No	Vaginal sex, Anal sex	No	This survey makes me look like a slut. It was fun to take though!	3.5	I don't live in Golden and haven't had much time to establish a favorite bar	Windows	At your house/dorm/apartment	Once a month	Yes	More than once a week	No	Out-of-State	500	2-5	6
2/4/2015 15:40:36	Female	Sophomore	Single	No	1-2 times per year (or when the stars align...)	Once a day	A bedroom, dorm room floor	I have never had a one night stand.	Never	No	No	No	None of these	Chemical and Biological Engineering	Bisexual	Dildo, Vibrator	No	Yes	Another Mines student, A student from another college	3	3	None of these., self sex?	I own and use them	No	Male condoms	2	No	No	Within the past six months	No	Oral sex, Vaginal sex, Anal sex	No		2.3	I don't	Mac OS	At your house/dorm/apartment	Once a week	No	More than once a week	Yes	Out-of-State	464	1	2
2/4/2015 15:44:34	Female	Senior	In a committed relationship	Yes	1-2 times per week	A few times a week	An athletics field/stadium, A bedroom, A car, A campus building, A shower/bathroom, Elevator	Once a year (or when the stars align...)	Never	Yes	Yes	No	Alcohol, Marijuana, Mushrooms	Physics	Bisexual	Dildo, Vibrator, Cock Ring, Handcuffs, Blindfold, Anal Plug, Ice	No	No	Another Mines student, A student from another college, Someone in your department	3	5	Used props, Role play, Made a sex tape, Had sex in a room where someone else was sleeping, Anal sex	I own and use them	Yes	Oral birth control	3	Yes	No	Within the past three months	No	Oral sex, Vaginal sex, Anal sex, anything naked or genital touching, even rubbing through clothes	No	didn't have nuvaring BC option would be interested to see questions like "how much sex do you think the people at your school have?" and compare expectations/reality	3.92	Rock Rest Lodge	Linux	At your house/dorm/apartment	Once a month	Yes	More than once a week	Yes	In-State	100	More than 15	2
2/4/2015 16:05:02	Female	Freshman	Single			A few times a month			Never	No	No	Yes		Applied Mathematics and Statistics	Bisexual					1			I've never used them and I don't own any			4	No	No	Never		Oral sex, Vaginal sex, Anal sex	No		4	None	Mac OS	At your house/dorm/apartment	Once a week	No	Once a week	Yes	In-State	430	6-10	
2/4/2015 16:08:15	Female	Freshman	Single	No	1-2 times per month	A few times a week	A bedroom, A car	I have never had a one night stand.	Never	No	No	No	None of these	Physics	Bisexual	None of these.	No	No	A student from another college	3		None of these.	I've never used them and I don't own any	No		4	No	No	Never	No	Oral sex, Vaginal sex, Anal sex	No		3.9		Windows	At your house/dorm/apartment	Once a week	No	Once a week	No	Out-of-State	200ish	2-5	1
2/4/2015 16:12:59	Female	Graduate Student	In a committed relationship	Yes	1-2 times per month	Once a day	An athletics field/stadium, A bedroom, A car, A shower/bathroom	Once a year (or when the stars align...)	A few times a week	Yes	Yes	No	Alcohol, Ecstasy, Marijuana	Petroleum Engineering	Bisexual	Dildo, Vibrator, Anal Plug, Ice	No	No	Another Mines student, A student from another college, A coworker	5	5	Used props, Threesome (or more...), Role play, Anal sex	I own and use them	Yes	An intrauterine device (IUD)	5	No	No	Within the past year	No	Oral sex, Vaginal sex, Anal sex	Yes		3.8	Table Mountain Inn	Windows	Green Center	Once a month	Yes	Once a week	No	Out-of-State	200	2-5	2
2/4/2015 16:13:55	Female	Junior	Single			A few times a week			A few times a month	No	No	Yes		Physics	Bisexual					2			I've used them, but don't own them.			2	No	No	Never		Oral sex, Vaginal sex, Anal sex	No		2.85	N/A	Windows	At your house/dorm/apartment	Once a week	No	More than once a week	No	Out-of-State	250	6-10	
2/4/2015 16:17:51	Female	Graduate Student	Single	No	1-2 times per week	A few times a week	A bedroom, A shower/bathroom, field	I have never had a one night stand.	A few times a week	Yes	No	No	Alcohol, Marijuana	Mechanical Engineering	Bisexual	Dildo, Vibrator, Handcuffs, Blindfold, Ice	No	No	Another Mines student, A student from another college, Someone in your department	3	3	Used props	I own and use them	Yes	Male condoms	1	No	No	A while ago...	No	Oral sex, Vaginal sex, Anal sex	No		3.8	Blue Canyon	Windows	Brown Building	More than once a week	Yes	More than once a week	No	In-State	not on FB	2-5	3
2/4/2015 16:27:38	Female	Freshman	In a committed relationship			A few times a month			Almost never	Yes	No	Yes		Geophysics	Bisexual					3			I've never used them and I don't own any			5	No	No	A while ago...		Vaginal sex, Anal sex	No		3.48		Linux and Windows (both)	At your house/dorm/apartment	More than once a week	No	Almost never	No	Out-of-State	264	6-10	
2/4/2015 16:34:29	Female	Junior	In a committed relationship	Yes	3-5 times per week	A few times a week	A bedroom, A car, A shower/bathroom	Once a year (or when the stars align...)	A few times a week	No	No	No	Alcohol, Marijuana	Petroleum Engineering	Bisexual	None of these.	No	Yes	Another Mines student, A student from another college	5	3	None of these.	I've never used them and I don't own any	No	An intrauterine device (IUD)	5	No	No	Within the past month	No	Oral sex, Vaginal sex, Anal sex	No		2.8		Windows	At your house/dorm/apartment	More than once a week	Yes	More than once a week	Yes	In-State	400	2-5	3
2/4/2015 16:35:11	Female	Graduate Student	Single	No	I am not sexually active.	A few times a month	A bedroom, A car, parfet park	Once a year (or when the stars align...)	A few times a month	Yes	No	No	Acid, Adderall, Alcohol, Cocaine, Ecstasy, Marijuana, Mushrooms, Prescription drugs (pain killers, etc)	Physics	Bisexual	Whip(s), Dildo, Vibrator, Handcuffs, Blindfold, Anal Plug	No	No	Another Mines student, A student from another college, Someone in your department, A coworker		1	Used props, Threesome (or more...), Role play, Made a sex tape, Anal sex	I own and use them	Yes	Orgasmic timing (or as the kids say, "pulling out")	2	No	No	Within the past year	No	Oral sex, Vaginal sex, Anal sex	No		3.2	Golden City Brewery	Mac OS	Local coffee shops	More than once a week	No	Almost never	Yes	In-State	no facebook	1	3
2/4/2015 16:45:03	Female	Junior	In a committed relationship	Yes	Once a day	Once a day	A bedroom, A car, A fraternity house, A sorority house, A shower/bathroom	Once a year (or when the stars align...)	Once a day	No	Yes	No	Acid, Alcohol, Marijuana, Mushrooms, Prescription drugs (pain killers, etc)	Geology and Geological Engineering	Bisexual	Dildo, Vibrator, Cock Ring, Handcuffs, Blindfold, Anal Plug	No	No	Another Mines student, A student from another college, Someone in your department	4	2	Used props, Threesome (or more...), Role play, Had sex in a room where someone else was sleeping, Anal sex	I own and use them	Yes	Oral birth control	5	No	No	Never	No	Vaginal sex, Anal sex	Yes		2.15	Rock Rest Lodge	Windows	At your house/dorm/apartment	Once a week	No	Once a week	No	Out-of-State	700	2-5	6
2/4/2015 16:58:43	Female	Sophomore	Single	Yes	1-2 times per month	A few times a week	A bedroom, A shower/bathroom	Once a year (or when the stars align...)	Almost never	No	No	No	Ecstasy, Marijuana	Chemical and Biological Engineering	Bisexual	Vibrator, Handcuffs	No	No	Another Mines student	4	3	Used props	I own and use them	No	Oral birth control	4	No	No	Within the past month	No	Vaginal sex, Anal sex	No		3.2		Windows	Brown Building	Once a week	No	Once a week	Yes	Out-of-State	350	2-5	3
2/4/2015 17:09:06	Female	Junior	In an open relationship	Yes	1-2 times per week	A few times a week	A bedroom, A car, A fraternity house, A campus building, A shower/bathroom, The Library	Once a year (or when the stars align...)	A few times a month	Yes	Yes	No	Alcohol, Marijuana	Chemistry and Geochemistry	Bisexual	Vibrator, Ice	No	No	Another Mines student, A student from another college, Someone in your department, A roommate, A coworker	4	3	Used props, Threesome (or more...)	I own and use them	Yes	An intrauterine device (IUD)	3	No	No	Within the past six months	No	Oral sex, Vaginal sex, Anal sex	Yes		3	Rock Rest Lodge	Windows	Arthur Lakes Library	More than once a week	No	More than once a week	Yes	Out-of-State	550	More than 15	7
2/4/2015 17:15:07	Female	Senior	Married	Yes	3-5 times per week	A few times a month	A bedroom, A car, A fraternity house, A sorority house, A campus building, A shower/bathroom	Once a year (or when the stars align...)	A few times a month	Yes	Yes	No	Acid, Alcohol, DMT, Ecstasy, Marijuana, Mushrooms	Chemical and Biological Engineering	Bisexual	Whip(s), Dildo, Vibrator, Cock Ring, Handcuffs, Ice, Wax	No	No	Another Mines student, A student from another college, Someone in your department, A roommate	5	2	Used props, Threesome (or more...), Role play, Had sex in a room where someone else was sleeping, Anal sex	I own and use them	Yes	Oral birth control	5	No	No	Within the past year	No	Oral sex, Vaginal sex, Anal sex	Yes		2.5	Rock Rest Lodge	Windows	At your house/dorm/apartment	Once a month	No	2-3 times per month	No	In-State	830	6-10	1
2/4/2015 17:23:04	Female	Sophomore	Single	Yes	1-2 times per month	A few times a week	A bedroom, A campus building, A shower/bathroom	I have never had a one night stand.	Almost never	No	No	No	None of these	Chemical and Biological Engineering	Bisexual	None of these.	No	Yes	Another Mines student	2	2	Had sex in a room where someone else was sleeping	I've never used them and I don't own any	No	Male condoms	3	No	No	A while ago...	No	Oral sex, Vaginal sex, Anal sex	No		3.5	Ace-Hi Tavern	Windows	Local coffee shops	Once a week	No	More than once a week	No	In-State	50	11-15	1
2/4/2015 17:33:18	Female	Freshman	Single	Yes	1-2 times per week	A few times a week	A bedroom, A fraternity house, A shower/bathroom, A friends house	A few times a month	Once a day	No	Yes	No	Alcohol	Chemical and Biological Engineering	Bisexual	Dildo, Vibrator, Blindfold, Ice	No	No	Another Mines student, A student from another college	3	3	Anal sex	I own and use them	Yes	Male condoms	5	No	No	Within the past month	No	Oral sex, Vaginal sex, Anal sex	Yes	frat houses are gross.	~2.0	Ace-Hi Tavern	Mac OS	Local coffee shops	More than once a week	No	Once a week	No	Out-of-State	~1000	More than 15	12
2/4/2015 17:38:54	Female	Sophomore	Single	Yes	1-2 times per week	Once a day	An athletics field/stadium, A bedroom, A car, A campus building, A shower/bathroom	Once a year (or when the stars align...)	Once a day	Yes	Yes	No	Alcohol, Marijuana	Petroleum Engineering	Bisexual	Dildo, Vibrator, Handcuffs, Ice	No	No	Another Mines student, A student from another college, Someone in your department	5	2	Used props, Threesome (or more...), Role play, Had sex in a room where someone else was sleeping	I own and use them	Yes	Male condoms	5	No	No	Within the past month	No	Vaginal sex	No		2.2	Rock Rest Lodge	Windows	Brown Building	More than once a week	No	More than once a week	No	In-State	950	2-5	2
2/4/2015 18:39:52	Female	Graduate Student	In a committed relationship	Yes	1-2 times per week	Almost never	A bedroom, A car, A campus building, A shower/bathroom	Once a year (or when the stars align...)	Almost never	Yes	Yes	No	Alcohol, Marijuana	Chemistry and Geochemistry	Bisexual	Dildo, Vibrator, Cock Ring, Handcuffs, Blindfold, Ice	No	No	Another Mines student, A student from another college, Someone in your department, A roommate, A coworker	4	1	Used props, Threesome (or more...), Role play, Had sex in a room where someone else was sleeping, Anal sex	I own and use them	Yes	Orgasmic timing (or as the kids say, "pulling out")	2	Yes	Yes	A while ago...	No	Oral sex, Vaginal sex, Anal sex	No		4	Golden Moon Speakeasy	Mac OS	At your house/dorm/apartment	Once a month	Yes	More than once a week	Yes	Out-of-State	200	More than 15	1
2/4/2015 19:16:16	Female	Freshman	In a committed relationship	Yes	3-5 times per week	Almost never	A bedroom, A shower/bathroom	I have never had a one night stand.	Never	No	Yes	No	Prescription drugs (pain killers, etc)	Chemical and Biological Engineering	Bisexual	None of these.	No	No	Another Mines student	5	4	None of these.	I've never used them and I don't own any	Yes	Oral birth control	5	No	No	Never	No	Oral sex, Vaginal sex, Anal sex	No		3.2	The Grizzly Rose	Windows	At your house/dorm/apartment	More than once a week	No	Once a week	Yes	In-State	150	2-5	1
2/4/2015 19:23:47	Female	Senior		Yes	1-2 times per month	A few times a week	A bedroom, A car, A campus building, A shower/bathroom, South/North Table	Once a year (or when the stars align...)	A few times a month	Yes	No	No	None of these	Petroleum Engineering	Bisexual	Dildo, Vibrator, Blindfold, Ice	No	No	Another Mines student, Someone in your department	2	2	Role play, Made a sex tape, Anal sex	I own and use them	Yes	An intrauterine device (IUD)	3	No	No	Within the past six months	No	Vaginal sex	Yes		3	Rock Rest Lodge	Mac OS	At your house/dorm/apartment	Once a week	Yes	More than once a week	Yes	Out-of-State	0	6-10	3
2/4/2015 19:25:26	Female	Graduate Student	In a committed relationship	Yes	3-5 times per week	A few times a week	An air plane, A bedroom, A car, A shower/bathroom, Club or Bar	I have never had a one night stand.	Almost never	Yes	Yes	No	Acid, Alcohol, Cocaine, Marijuana, Mushrooms, Prescription drugs (pain killers, etc)	Economics and Business	Bisexual	Dildo, Vibrator, Anal Plug, Ice	No	No	None of these	4	3	Used props, Threesome (or more...), Role play, Made a sex tape, Anal sex	I've used them, but don't own them.	Yes	Orgasmic timing (or as the kids say, "pulling out")	5	No	No	Within the past six months	No	Oral sex, Vaginal sex, Anal sex	No				Windows	At your house/dorm/apartment	Once a week	No	More than once a week	Yes	In-State		6-10	1
2/4/2015 19:35:50	Female	Senior	Single	Yes	1-2 times per month	A few times a week	A bedroom, A car, A campus building, A shower/bathroom, camping	Once a year (or when the stars align...)	Almost never	Yes	Yes	No	Alcohol, Cocaine, Marijuana	Electrical Engineering and Computer Science	Bisexual	None of these.	No	No	Another Mines student, A student from another college, A Golden bartender or waiter	4	4	None of these.	I own and use them	Yes	Orgasmic timing (or as the kids say, "pulling out")	2	No	No	Within the past six months	No	Oral sex, Vaginal sex, Anal sex	No		3.83	hipster bars in denver	Mac OS	Brown Building	Once a month	No	More than once a week	No	In-State	150	6-10	4
2/4/2015 20:15:21	Female	Freshman	In a committed relationship			Almost never			Almost never	No	Yes	Yes		Chemical and Biological Engineering	Bisexual					2			I've never used them and I don't own any			3	No	No	Never		Oral sex, Vaginal sex, Anal sex	No		4	I don't	Mac OS	At your house/dorm/apartment	Once a month	Yes	More than once a week	No	Out-of-State	700	More than 15	
2/4/2015 20:25:02	Female	Sophomore	In an open relationship			More than once a day			More than once a day	Yes	No	Yes		Mining Engineering	Bisexual					4			I own and use them			4	Yes	Yes	Never		Anal sex, Audial sex (yeah, we don't know either...)	Yes	I love Anal Beads.	3.69	Rock Rest Lodge	Linux	Brown Building	Never	Yes	More than once a week	Yes	In-State	50,000	More than 15	
2/4/2015 22:50:47	Female	Sophomore	Single			Once a day			A few times a month	No	No	Yes		Chemistry and Geochemistry	Bisexual					1			I've never used them and I don't own any			1	No	No	Never		Oral sex, Vaginal sex, Anal sex	No				Windows	Arthur Lakes Library	Once a week	No	2-3 times per month	No	In-State		More than 15	
